구분,인원,총급여,근로소득금액,소득공제액,과세표준,결정세액
상위 0.1% 내,20539,202921,198917,13206,189715,72145
상위 0.2% 내,20540,85586,81555,9801,75785,24304
상위 0.3% 내,20539,67201,63297,8978,58224,17492
상위 0.4% 내,20540,57912,54184,8497,49414,14199
상위 0.5% 내,20540,51903,48285,8201,43702,12073
상위 0.6% 내,20539,47924,44377,8001,39923,10666
상위 0.7% 내,20540,44818,41328,7916,36901,9548
상위 0.8% 내,20539,42476,39033,7837,34639,8696
상위 0.9% 내,20540,40673,37260,7748,32925,8066
상위 1.0% 내,20540,39154,35769,7699,31455,7521
상위2%내,205396,339553,306645,74304,265250,58046
상위3%내,205396,285277,253399,70644,214634,40658
상위4%내,205396,254864,223582,68309,186554,31378
상위5%내,205396,234303,203432,67732,166571,25771
상위6%내,205396,217721,187180,65952,151769,22280
상위7%내,205396,204570,174349,64603,139968,19567
상위8%내,205397,194353,164610,63981,130372,17314
상위9%내,205396,185584,156280,63804,121780,15322
상위10%내,205396,177859,148941,63075,114784,13735
상위11%내,205396,171042,142464,62261,108781,12410
상위12%내,205396,164802,136536,61602,103200,11227
상위13%내,205396,159016,131040,60675,98341,10259
상위14%내,205396,153571,125867,59718,93852,9442
상위15%내,205397,148446,120997,58653,89793,8757
상위16%내,205396,143676,116466,58257,85418,7834
상위17%내,205396,139124,112143,57732,81392,7082
상위18%내,205396,134776,108012,56697,78079,6631
상위19%내,205396,130633,104076,55837,74795,6185
상위20%내,205396,126713,100352,54884,71829,5785
상위21%내,205396,123194,97009,53570,69624,5523
상위22%내,205397,119952,93929,53044,66909,5138
상위23%내,205396,116738,90876,52423,64315,4780
상위24%내,205396,113704,87993,51702,62002,4459
상위25%내,205396,110757,85194,50842,59915,4161
상위26%내,205396,107920,82499,50194,57727,3873
상위27%내,205396,105191,79906,49552,55640,3596
상위28%내,205396,102613,77457,48809,53804,3361
상위29%내,205397,100136,75103,48147,51989,3122
상위30%내,205396,97890,72970,47365,50525,2958
상위31%내,205396,95649,70841,46967,48682,2706
상위32%내,205396,93453,68755,46343,47110,2513
상위33%내,205396,91351,66865,45660,45691,2334
상위34%내,205396,89314,65133,44880,44434,2177
상위35%내,205396,87317,63436,44201,43116,2012
상위36%내,205397,85539,61925,43390,42149,1901
상위37%내,205396,83728,60385,42851,40877,1735
상위38%내,205396,81985,58904,42218,39767,1602
상위39%내,205396,80294,57467,41564,38730,1468
상위40%내,205396,78659,56077,40962,37698,1356
상위41%내,205396,77047,54707,40339,36708,1241
상위42%내,205396,75490,53384,39740,35750,1136
상위43%내,205397,74101,52203,39160,34941,1086
상위44%내,205396,72832,51124,38662,34170,977
상위45%내,205396,71460,49958,38209,33251,902
상위46%내,205396,70108,48808,37629,32479,827
상위47%내,205396,68786,47685,37209,31576,761
상위48%내,205396,67469,46565,36625,30843,705
상위49%내,205396,66250,45529,36261,29988,655
상위50%내,205397,65000,44467,35735,29265,599
상위51%내,205396,63771,43422,35264,28506,559
상위52%내,205396,62543,42379,34760,27784,517
상위53%내,205396,61515,41505,34443,27072,498
상위54%내,205396,60433,40585,33988,26445,454
상위55%내,205396,59300,39622,33499,25802,423
상위56%내,205396,58206,38692,32954,25253,394
상위57%내,205396,57070,37726,32537,24533,370
상위58%내,205397,56028,36841,31978,24050,351
상위59%내,205396,54954,35927,31746,23208,322
상위60%내,205396,53982,35102,31365,22618,310
상위61%내,205396,52961,34234,30843,22119,294
상위62%내,205396,51958,33381,30459,21499,280
상위63%내,205396,51072,32628,30164,20908,261
상위64%내,205396,50074,31780,29780,20294,245
상위65%내,205397,49330,31148,28829,20501,250
상위66%내,205396,48801,30697,29902,18899,215
상위67%내,205396,47853,29892,28683,19170,216
상위68%내,205396,47242,29373,28919,18323,198
상위69%내,205396,46648,28868,28201,18447,200
상위70%내,205396,45387,27796,27558,17829,188
상위71%내,205396,44141,26736,27165,16976,171
상위72%내,205397,42689,25502,26317,16372,163
상위73%내,205396,41209,24244,26217,14992,135
상위74%내,205396,39637,22908,25483,14154,122
상위75%내,205396,38088,21591,24796,13292,106
상위76%내,205396,36654,20373,24546,12108,86
상위77%내,205396,35099,19051,23888,11211,70
상위78%내,205396,33468,17664,23268,10200,52
상위79%내,205397,31823,16266,22752,9071,32
상위80%내,205396,30188,15034,21953,8235,15
상위81%내,205396,28735,14160,21095,7639,6
상위82%내,205396,27016,13129,19799,7217,1
상위83%내,205396,25307,12104,18570,6737,0
상위84%내,205396,24142,11404,18299,5843,0
상위85%내,205396,22493,10415,17167,5326,0
상위86%내,205397,20775,9384,16212,4563,0
상위87%내,205396,19200,8439,15337,3863,0
상위88%내,205396,17556,7453,14442,3114,0
상위89%내,205396,15971,6502,13581,2390,0
상위90%내,205396,14586,5671,12828,1758,0
상위91%내,205396,13001,4720,11947,1055,0
상위92%내,205396,11685,3930,11328,357,0
상위93%내,205397,10117,3070,10096,21,0
상위94%내,205396,8631,2589,8631,0,0
상위95%내,205396,7302,2191,7302,0,0
상위96%내,205396,5809,1743,5809,0,0
상위97%내,205396,4429,1329,4429,0,0
상위98%내,205396,3183,955,3183,0,0
상위99%내,205396,1781,534,1781,0,0
상위100%내,205397,433,130,433,0,0
